,title,addr,score,lng,lat
62,오쓰세이로무시,서울 송파구 백제고분로45길 30 1층 1호,3.4,127.108479649288,37.5104947114349
63,청국장과보리밥 잠실점,서울 송파구 백제고분로20길 4,4.5,127.086118214506,37.5044518019923
64,황도바지락칼국수,서울 송파구 백제고분로 358,3.6,127.106094189934,37.5042941822869
65,필녀의한정식,서울 송파구 동남로 308,3.2,127.138331533475,37.5026996589609
66,비와별닭갈비 잠실직영점,"서울 송파구 삼학사로 100 1, 2층",4.3,127.097494,37.5061789
67,피제리아라고,서울 송파구 백제고분로41길 39,4.4,127.105894953242,37.5089654397773
68,콘메,서울 송파구 백제고분로42길 6-30 1층,4.4,127.108243267161,37.5049389739779
69,본가설렁탕,서울 송파구 석촌호수로 204,3.2,127.099938003292,37.5063084315756
70,홈수끼,서울 송파구 위례성대로 134,3.7,127.126242402939,37.5120419264513
71,야끼소바 니주마루,서울 송파구 백제고분로41길 21 1층,4.5,127.10710612772,37.5079037754641
72,차만다,서울 송파구 오금로18길 6 106호,4.1,127.108814,37.5136564
73,레어마카롱 잠실점,서울 송파구 오금로 126,4.6,127.108804737854,37.5113681160421
74,할머니 포장마차멸치국수,서울 송파구 오금로11길 59,3.7,127.113581173713,37.515283886504
75,러반로제레스토랑 석촌호수점,서울 송파구 석촌호수로 274 씨엠빌딩 8층,4.3,127.106215804533,37.5102269180619
76,소담정,서울 송파구 올림픽로32길 22-22,4.4,127.108247889663,37.5137011462717
77,스시산,서울 송파구 석촌호수로 118 청호빌딩 2층,3.7,127.090022718025,37.507438155026
78,롯데호텔월드 라세느,서울 송파구 올림픽로 240 롯데호텔월드2층,3.6,127.098141751177,37.5113096112036
79,밀회관 잠실새내점,서울 송파구 백제고분로9길 54,4.5,127.084995892439,37.5099785671771
80,코벤트가든 올림픽공원점,서울 송파구 위례성대로 128 정화빌딩1층,3.3,127.125829404853,37.5122191440553
81,풍년뼈다귀해장국,서울 송파구 가락로 94,3.2,127.106711740392,37.5007506928673
82,화덕고깃간 신천본점,서울 송파구 백제고분로9길 23 1층,3.5,127.081652681901,37.5097126064055
83,수원집,서울 송파구 송파대로 108,3.6,127.125782153062,37.4804783707232
84,얼터너티브 커피로스터스,서울 송파구 백제고분로46길 26-1 신화빌딩 1층,3.8,127.113802070905,37.5074539497873
85,카페이클립스,서울 송파구 송파대로49길 52 나인파크A 201호,4.1,127.098968471356,37.5061875220992
86,디트로네 잠실점,서울 송파구 석촌호수로 258 아르누보팰리스 105호,3.3,127.104890918872,37.5091141003215
87,프레스,서울 송파구 백제고분로45길 17-3 4층,3.4,127.10942904496,37.5095574220903
88,지금보고싶다 방이점,서울 송파구 오금로11길 12 2층,3.5,127.108553295288,37.5144095052863
89,송파감자국,서울 송파구 가락로 82 1층,4.6,127.10534189857,37.5002861024206
90,명가원설농탕 석촌호수점,서울 송파구 오금로 105 덕림빌딩 1층,4.1,127.108095294135,37.5129885020172
91,테이스티버거 2호점,서울 송파구 송파대로49길 50,4.1,127.099387961215,37.5062773604789
92,에브리데이몬데이,서울 송파구 송파대로48길 14,4.3,127.105757265608,37.5088560911014
93,한아람,서울 송파구 위례성대로 34 지산빌딩 2층,4.1,127.116023047615,37.5157944542998
94,본가진미간장게장,서울 송파구 백제고분로 420 1층,3.6,127.111312208939,37.5083270530231
95,평양만두한상,서울 송파구 양재대로71길 28-22 1층,4.5,127.124538953723,37.5120136412368
96,돈블랑 석촌호수점,서울 송파구 석촌호수로 296 1층,4.3,127.107771020245,37.5114222229466
97,진대감 방이점,서울 송파구 오금로13길 6 1층,3.4,127.108454439821,37.5130833187935
98,카페노티드 잠실,서울 송파구 백제고분로45길 3 2층,3.1,127.110665408994,37.5090376521908
99,부부횟집 서울점,서울 송파구 오금로18길 4,3.3,127.110704971144,37.5104765188185
100,화포식당 가락점,서울 송파구 송파대로30길 11,4.5,127.118465891551,37.4947814982071
101,꼬앙드파리,서울 송파구 마천로7길 18 1층,4.0,127.128474504176,37.5094219232499
102,을밀대 잠실점,서울 송파구 오금로15길 7-13,3.5,127.108724731651,37.5128222297291
103,위커파크,서울 송파구 석촌호수로 298 잠실대우레이크월드 103-1호,3.9,127.108170494767,37.5115660184287
104,피치그레이,서울 송파구 가락로21길 14-1 1층,4.0,127.110936790597,37.5036429022002
105,태,서울 송파구 오금로11길 23,5.0,127.109821400471,37.515113998941
106,가락골마산아구찜,서울 송파구 송이로19길 3,3.8,127.121717715069,37.4974578751155
107,역전할머니맥주 서울신천점,서울 송파구 올림픽로10길 16 1층,3.5,127.081088024208,37.5101971951265
108,스시작,서울 송파구 양재대로71길 13 1층,4.8,127.125250158099,37.5105145198513
109,부산양곱창,서울 송파구 백제고분로7길 50-1 1층,3.8,127.084506794401,37.5106510673029
110,바베네,서울 송파구 백제고분로41길 42-11 1층,4.0,127.106076587154,37.5099177284294
111,부농정육식당,서울 송파구 백제고분로28길 29,4.3,127.091393740163,37.5003986295802
112,경양카츠송리단길점,서울 송파구 백제고분로45길 12,3.5,127.110151992824,37.5096256769585
113,별미곱창 방이1호점,서울 송파구 오금로11길 14 1층,3.4,127.108893037866,37.5144572160495
114,중화일상,서울 송파구 백제고분로 401 골재회관 1층,4.1,127.10953771615,37.5072978726151
115,짬뽕지존 송파점,서울 송파구 오금로 152 1층,3.7,127.111455437422,37.5103325534361
